<trait>	alpha
3H-2	-999
CIMBL138	-999
CIMBL87	-999
GEMS56	-999
HUANGC	-999
Q1261	4.7218
CIMBL110	2.1073
CIMBL21	4.0343
YAN414	2.991
CIMBL91	4.5476
K22	5.6439
JI842	4.2178
QI205	7.7762
CA47	4.9386
CIMBL112	0.6868
CIMBL25	2.8271
CML297	1.9587
CIMBL99	3.163
CIMBL84	0.928
CML412	-999
CIMBL116	5.5646
CML364	6.6071
CIMBL132	8.0843
CIMBL37	1.8033
DONG46	2.1807
S22	5.7732
CML121	2.2996
CIMBL92	1.3348
CIMBL8	6.0177
CIMBL156	8.3275
ZB648	4.8694
GEMS47	3.9064
CIMBL9	11.4596
CIMBL149	9.1355
CIMBL107	4.0596
CIMBL157	3.3657
CML496	3.6264
CIMBL108	3.1866
268	6.8402
GEMS2	0.4985
CML422	0.8912
CIMBL20	2.7289
P138	4.9246
CML32	3.6551
DSB	12.0632
GEMS24	3.1712
CML283	3.8397
CML282	4.8961
CIMBL89	0.9292
TY1	3.1788
ES40	5.2784
CIMBL86	3.0394
CIMBL53	4.2529
CML163	5.289
CML497	1.243
CML20	9.4809
Z2018F	4.4557
CML50	1.5297
GEMS17	7.3836
DAN599	9.9433
CIMBL12	4.5824
CML27	3.9751
HAI268	4.067
CML166	5.4352
CIMBL130	7.58612
CML493	8.844
CIMBL19	1.5976
501	4.1579
TY7	1.715
CML289	5.4094
W138	1.2062
LIAO5114	1.4108
CIMBL131	9.1799
CIMBL31	4.4715
LY	4.5861
CIMBL11	3.54
CML430	3.163
CIMBL60	9.7724
CML298	0.3807
CML408	6.0811
DONG237	0.8943
CIMBL1	4.7757
CML433	1.3641
CIMBL142	15.4661
18-599	14.6201
ZHENG22	3.4291
R08	9.4618
CML471	4.7998
CIMBL113	16.48
DAN9046	10.3554
CIMBL70	1.2397
CIMBL61	3.4869
CIMBL15	5.365
BT1	5.872
B111	14.9845
CIMBL85	6.5273
CIMBL105	3.8188
R15X1141	8.1057
CIMBL137	5.0355
CIMBL41	10.0797
CML229	6.9398
CIMBL81	1.8277
CIMBL48	0.979
YE478	3.7111
CIMBL152	13.2928
CML426	3.8885
GEMS40	8.9233
DAN4245	15.0257
CML454	10.9732
YU87-1	4.5919
CIMBL35	4.2402
CI7	10.4219
TY6	2.1364
CIMBL69	3.1808
LIAO5262	9.0246
K12	9.3351
CIMBL106	3.7523
GEMS10	6.6571
CML287	7.8586
5237	9.6393
FCD0602	8.901
CIMBL50	1.8305
GEMS15	1.2337
TY2	3.6477
GEMS3	8.1275
XI502	7.2281
CIMBL122	0.8151
CIMBL24	11.3176
CML415	7.9283
CIMBL140	0.7739
CIMBL52	4.6585
TY11	4.1705
CHENG698	6.9207
CIMBL100	5.4949
CIMBL45	2.8283
CIMBL40	3.6129
HZS	9.5125
ZZ01	6.512
CIMBL13	9.7123
GEMS63	7.6864
CIMBL34	2.4437
CML431	1.2248
JI63	1.3083
HSBN	12.3578
P178	13.7393
GEMS16	2.6695
SC55	1.7387
CIMBL120	0.5384
CIMBL94	0.9836
SI273	10.7292
CML286	0.7007
CIMBL136	5.571
GEMS58	7.0895
M153	2.5327
CML474	1.5254
BEM	1.3674
ZONG3	1.8744
D047	6.0811
EN25	5.2922
CIMBL134	5.384
GEMS5	4.14
CF3	11.0017
CIMBL56	5.91
GEMS44	5.5326
TT16	10.235
1462	5.7991
CIMBL30	5.5013
CIMBL28	1.2257
B110	5.4126
GEMS9	7.3404
GEMS29	6.9079
DE.EX	13.0284
LG001	13.6963
3411	2.9547
XUN971	16.7715
ZAC546	8.0772
CML223	3.8208
GEMS66	7.1155
CIMBL16	6.4835
SW92E114	5.77
LIAO159	7.2819
YE107	-999
CIMBL5	14.5717
CIMBL133	6.7877
CML172	1.326
GEMS50	5.4807
JH59	6.417
ZONG31	1.3778
CIMBL22	8.619
CML470	5.251
CIMBL121	12.3737
CIMBL109	6.6921
TY9	10.7704
CIMBL39	0.4502
CML189	2.004
M165	2.8556
384-2	11.3112
YE515	1.8416
CML480	4.9373
CML116	3.3562
HTH-17	2.8081
JH96C	9.1387
526018	13.4041
GEMS11	17.3308
CML285	5.5235
YUN46	6.5619
IRF314	2.7606
CML165	8.8281
CML432	6.699
GEMS12	6.6052
CML114	0.5616
05WN230	12.9719
CML134	0.8908
150	10.1272
B151	1.9869
CML170	3.3436
CIMBL33	4.6997
GEMS51	9.2952
CML26	11.5477
HYS	12.1931
ZZ03	21.0552
CIMBL47	3.0584
CIMBL63	5.2795
SI444	8.4638
CIMBL36	1.848
CIMBL42	14.5757
GEMS18	12.1669
CIMBL65	1.5436
CML305	6.3814
CIMBL77	13.0934
CML479	1.2239
CML290	6.5074
CML473	3.3499
835B	11.5911
GEMS4	6.1381
GEMS57	8.6292
CIMBL82	6.3473
238	18.5078
S37	10.8623
GEMS6	7.3836
CIMBL6	4.6395
DAN598	12.6715
CIMBL139	2.0698
7381	9.0278
CIMBL154	8.806
7327	9.1513
CIMBL23	4.0786
TY4	2.2314
CIMBL7	7.6083
CIMBL115	1.1651
CML171	1.6453
GEMS43	9.5028
ZHENG30	21.5622
CIMBL98	5.27
B11	9.5189
CML118	1.0274
CML300	1.4558
CIMBL29	10.4821
CML325	6.1445
L3180	8.0329
TY10	2.5578
CML51	4.8961
SI434	1.9257
CML326	1.3813
CIMBL18	5.8699
CML31	6.0589
ZH68	13.7614
CHANG7-2	3.502
CIMBL104	6.9841
CIMBL129	2.5356
CIMBL38	3.3941
CIMBL147	7.4024
CML304	4.6078
SHEN137	7.735
SHEN135	8.4684
ZHENG28	2.0952
CIMBL114	5.4981
CML139	2.0635
975-12	10.3152
812	10.9985
TY3	1.6579
CIMBL135	5.6717
04K5686	5.6482
177	22.7195
HB	7.8523
CIMBL101	1.3546
GEMS1	14.0525
JI53	10.2191
CML428	11.2489
DAN360	10.2955
B73	5.1527
CIMBL123	5.8973
CIMBL125	4.8412
CIMBL55	15.5865
CIMBL145	7.2915
CML338	7.0492
CIMBL44	7.8808
WH413	4.4844
81162	10.1192
GEMS20	4.7887
CIMBL111	11.4453
DH3732	4.8359
D863F	17.4464
07KS4	7.0602
CIMBL153	24.1065
CIMBL118	6.6514
ZHENG29	1.9114
TIAN77	0.645
GEMS30	3.5259
CML115	1.2776
GEMS36	6.6484
TY8	3.3436
CIMBL141	3.3702
CIMBL128	7.8681
CIMBL73	1.6755
WU109	6.1476
ZHENG35	1.4932
GEMS42	11.9593
CML468	7.4087
ZHENG32	5.8164
HUA83-2	0.6455
GEMS52	7.4096
GEMS48	9.2174
SHEN5003	3.3689
BGY	1.9753
CIMBL119	10.2166
ZHI41	11.4421
CIMBL90	6.474
CIMBL143	9.4555
JIAO51	6.2807
XZ698	7.4974
B114	1.7447
LIAO138	7.1647
B77	4.7628
CIMBL144	3.7989
CML423	5.3564
CIMBL67	10.1969
DAN3130	7.8664
TY5	2.0286
LX9801	7.6843
GEMS23	20.6869
CIMBL32	5.1623
CIMBL62	8.0899
GEMS46	8.4994
GEMS55	5.472
GEMS35	5.8786
YE52106	10.8528
CML411	23.1813
CIMBL75	1.6506
CML122	2.8841
J4112	6.7347
GEMS64	3.8719
MN	2.9539
IRF291	6.1128
GEMS41	6.4581
WMR	9.0954
LK11	5.3682
GEMS54	6.4495
CML360	3.1756
GEMS25	2.8252
GEMS19	21.7162
5311	6.8111
CIMBL155	5.4981
JI846	12.0125
YZ15	8.8299
CIMBL126	4.9373
CIMBL76	9.069
CIMBL83	8.9099
GEMS28	6.017
CIMBL95	6.8352
GEMS53	8.067
CIMBL103	6.8544
CIMBL97	7.7604
CIMBL88	13.6963
ZHONG69	2.1966
JI853	8.0473
TIE7922	16.8
CML465	11.3598
GEMS39	5.7921
LIAO5263	22.8391
CML28	2.4808
ZHENG653	2.1586
CIMBL72	2.9317
832	12.098
04K5672	6.7053
CIMBL59	1.721
CML162	3.9772
JY01	8.9099
CIMBL26	4.9278
CML192	7.47717
ZI330	11.8445
R15	5.4117
CML307	1.1865
YU374	12.6176
U8112	15.7092
CIMBL102	2.599
05W002	6.7301
GEMS33	14.0871
9782	3.2295
BZN	1.6877
CML451	3.7016
BS16	14.5409
303WX	2.9602
CIMBL124	13.701
DH29	6.211
H21	14.0815
YE488	3.483
CIMBL79	2.8715
DAN340	4.443
MO17	10.4948
CML168	12.5859
K14	16.042
MO113	2.3934
M97	10.9447
CML40	8.9612
8902	6.455
CML324	1.208
GEMS32	5.9391
CIMBL148	6.2237
CML361	9.4374
1323	12.0822
GEMS59	1.2856
TX5	15.8178
LV28	1.5946
NX15	7.7604
CML327	5.8435
GEMS13	5.0569
GEMS21	8.9233
CIMBL27	3.2992
CIMBL74	9.7407
4019	11.2869
GEMS65	7.2366
CIMBL58	2.0365
CIMBL68	11.0968
CML191	5.3524
QI319	9.3193
CIMBL71	5.4442
GEMS37	7.43552
B113	1.7213
GEMS62	3.4134
SI446	10.1169
CIMBL2	13.8185
9642	1.8892
CIMBL4	8.0424
CML113	8.1022
CIMBL57	1.4506
CIMBL10	31.2545
04K5702	8.6159
GEMS27	5.5672
CIMBL64	7.8284
GEMS31	2.3841
YE8001	10.4504
CML226	6.7021
CML130	10.1367
CIMBL46	1.7944
GEMS14	7.8507
CIMBL93	3.0277
GEMS61	7.0809
CIMBL66	3.6214
CIMBL117	13.0169
GY923	12.5353
CIMBL54	4.9468
CIMBL78	3.2422
C8605	19.2078
BY843	23.152
CML169	9.6773
CIMBL49	1.3825
CIMBL80	11.4897
CML69	6.628
LXN	9.4016
CIMBL17	1.7793
CY72	15.4393
SW1611	1.734
CIMBL51	5.9924
CML228	4.3321
SY3073	11.7379
CIMBL96	11.8255
CIMBL3	12.1867
GEMS60	8.1794
NMJT	2.6428
NAN21-3	6.8924
CIMBL127	1.8544
QTHHSBTS	10.4164
647	8.5296
HU803	22.9246
4F1	14.0181
K10	6.0436
CML225	10.7419
GEMS49	10.2207
CML486	1.3584
835A	26.4986
CIMBL150	7.55563
CHANG3	6.5762
CML323	1.6182
GEMS45	1.0175
BY4944	6.512
SY1039	7.6193
HAI1134	1.4552
ZHENG58	8.7901
CIMBL14	3.9937
RY732	0.8445
GY386B	21.6226
SY1032	13.5336
5213	10.0512
GY1007	13.5175
7884-4HT	14.5961
RY737	0.6543
CIMBL146	11.5582
A619	5.666
RY729	1.597
GY246	31.3173
SY1035	13.8248
RY713	15.9814
CHUAN48-2	9.6234
BY855	7.4087
CIMBL151	5.7959
CML29	5.0292
SY1128	13.9072
CIMBL43	5.5742
SY1052	23.6807
SY998	24.9049
SY1077	5.7136
GY462	19.6991
LY042	12.7127
RY697	1.4094
BY4839	14.4395
GY386	23.365
GY220	16.7945
GY237	29.3027
RY684	9.3573
GY798	25.5134
BY4960	25.2901
GY1032	23.0387
BY815	36.4639
SY999	1.6329
BY813	28.4314
BY804	35.9311
BY807	49.603
BY809	60.9166
