Linename	Subpop
05W002	1
05WN230	1
07KS4	1
1323	1
150	1
177	1
18-599	1
268	1
384-2	1
4019	1
501	1
5213	1
526018	1
7381	1
812	1
835A	1
835B	1
8902	1
975-12	1
9782	1
B110	1
B111	1
B73	1
BEM	1
C8605	1
CHENG698	1
CHUAN48-2	1
CIMBL144	1
CIMBL145	1
D863F	1
DAN360	1
DAN4245	1
DAN599	1
DE.EX	1
DH3732	1
EN25	1
FCD0602	1
GEMS1	1
GEMS10	1
GEMS11	1
GEMS12	1
GEMS13	1
GEMS14	1
GEMS15	1
GEMS16	1
GEMS17	1
GEMS18	1
GEMS20	1
GEMS21	1
GEMS23	1
GEMS28	1
GEMS4	1
GEMS44	1
GEMS45	1
GEMS49	1
GEMS5	1
GEMS50	1
GEMS51	1
GEMS52	1
GEMS53	1
GEMS54	1
GEMS55	1
GEMS6	1
GEMS61	1
GEMS62	1
GEMS63	1
GEMS64	1
GEMS65	1
GEMS66	1
GEMS9	1
GY246	1
H127	1
HU803	1
HUANGC	1
J4112	1
JH96C	1
JY01	1
K22	1
L3180	1
LG001	1
LIAO138	1
LIAO159	1
LIAO5114	1
LIAO5262	1
LIAO5263	1
LXN	1
M165	1
M97	1
P138	1
P178	1
QI319	1
SHEN135	1
SHEN137	1
SHEN5003	1
SI273	1
TIE7922	1
TT16	1
U8112	1
XUN971	1
XZ698	1
YE478	1
YE8001	1
YU87-1	1
Z2018F	1
ZH68	1
ZHENG28	1
ZHENG29	1
ZHENG30	1
ZHENG32	1
ZHENG35	1
ZZ01	1
ZZ03	1
238	2
303WX	2
3411	2
4F1	2
5237	2
5311	2
647	2
7327	2
81162	2
A619	2
B113	2
B151	2
BGY	2
BS16	2
BY4839	2
BY4944	2
BY4960	2
BY804	2
BY807	2
BY809	2
BY813	2
BY815	2
BY843	2
BY855	2
BZN	2
CHANG3	2
CHANG7-2	2
CI7	2
CIMBL1	2
CIMBL143	2
DAN3130	2
DAN598	2
DH29	2
DONG237	2
DONG46	2
ES40	2
GEMS47	2
GEMS56	2
GEMS57	2
GEMS58	2
GY1007	2
GY1032	2
GY220	2
GY237	2
GY386	2
GY386B	2
GY462	2
GY798	2
GY923	2
HB	2
HSBN	2
HTH-17	2
HYS	2
HZS	2
IRF291	2
IRF314	2
JH59	2
JI53	2
JI63	2
JI842	2
JI846	2
JI853	2
JING24	2
K10	2
K12	2
K14	2
LK11	2
LV28	2
LX9801	2
LY042	2
MO113	2
MO17	2
NAN21-3	2
Q1261	2
QI205	2
QTHHSBTS	2
R08	2
R15	2
R15X1141	2
RY684	2
RY697	2
RY713	2
RY732	2
S22	2
SI434	2
SI444	2
SI446	2
SK	2
SY1032	2
SY1039	2
SY1052	2
SY1077	2
SY1128	2
SY3073	2
SY998	2
SY999	2
TIAN77	2
TX5	2
W138	2
WH413	2
WU109	2
XI502	2
YAN414	2
YE107	2
YE515	2
YE52106	2
YU374	2
ZAC546	2
ZB648	2
ZHENG22	2
ZHENG58	2
ZHENG653	2
ZHI41	2
ZI330	2
ZONG3	2
ZONG31	2
04K5702	3
1462	3
3H-2	3
9642	3
B11	3
BK	3
CA47	3
CIMBL100	3
CIMBL101	3
CIMBL102	3
CIMBL103	3
CIMBL105	3
CIMBL106	3
CIMBL107	3
CIMBL108	3
CIMBL109	3
CIMBL11	3
CIMBL110	3
CIMBL111	3
CIMBL112	3
CIMBL113	3
CIMBL114	3
CIMBL115	3
CIMBL116	3
CIMBL117	3
CIMBL118	3
CIMBL119	3
CIMBL12	3
CIMBL120	3
CIMBL121	3
CIMBL122	3
CIMBL123	3
CIMBL124	3
CIMBL125	3
CIMBL126	3
CIMBL127	3
CIMBL128	3
CIMBL129	3
CIMBL13	3
CIMBL133	3
CIMBL134	3
CIMBL136	3
CIMBL137	3
CIMBL138	3
CIMBL139	3
CIMBL14	3
CIMBL140	3
CIMBL142	3
CIMBL146	3
CIMBL147	3
CIMBL148	3
CIMBL149	3
CIMBL15	3
CIMBL150	3
CIMBL151	3
CIMBL152	3
CIMBL153	3
CIMBL155	3
CIMBL156	3
CIMBL157	3
CIMBL16	3
CIMBL17	3
CIMBL18	3
CIMBL19	3
CIMBL2	3
CIMBL20	3
CIMBL21	3
CIMBL22	3
CIMBL23	3
CIMBL24	3
CIMBL25	3
CIMBL26	3
CIMBL27	3
CIMBL28	3
CIMBL29	3
CIMBL3	3
CIMBL30	3
CIMBL31	3
CIMBL32	3
CIMBL33	3
CIMBL34	3
CIMBL38	3
CIMBL39	3
CIMBL4	3
CIMBL40	3
CIMBL42	3
CIMBL43	3
CIMBL44	3
CIMBL45	3
CIMBL46	3
CIMBL47	3
CIMBL48	3
CIMBL49	3
CIMBL5	3
CIMBL50	3
CIMBL51	3
CIMBL52	3
CIMBL53	3
CIMBL54	3
CIMBL55	3
CIMBL56	3
CIMBL57	3
CIMBL58	3
CIMBL59	3
CIMBL6	3
CIMBL60	3
CIMBL61	3
CIMBL62	3
CIMBL63	3
CIMBL65	3
CIMBL66	3
CIMBL67	3
CIMBL68	3
CIMBL69	3
CIMBL7	3
CIMBL70	3
CIMBL71	3
CIMBL72	3
CIMBL73	3
CIMBL74	3
CIMBL75	3
CIMBL76	3
CIMBL77	3
CIMBL78	3
CIMBL79	3
CIMBL8	3
CIMBL80	3
CIMBL81	3
CIMBL82	3
CIMBL83	3
CIMBL84	3
CIMBL85	3
CIMBL86	3
CIMBL87	3
CIMBL88	3
CIMBL89	3
CIMBL9	3
CIMBL90	3
CIMBL91	3
CIMBL92	3
CIMBL93	3
CIMBL94	3
CIMBL96	3
CIMBL97	3
CIMBL98	3
CIMBL99	3
CML113	3
CML114	3
CML115	3
CML116	3
CML118	3
CML121	3
CML122	3
CML130	3
CML134	3
CML139	3
CML162	3
CML163	3
CML165	3
CML166	3
CML168	3
CML169	3
CML170	3
CML171	3
CML172	3
CML189	3
CML191	3
CML192	3
CML20	3
CML223	3
CML225	3
CML226	3
CML228	3
CML27	3
CML28	3
CML286	3
CML287	3
CML290	3
CML298	3
CML300	3
CML304	3
CML305	3
CML307	3
CML31	3
CML32	3
CML323	3
CML324	3
CML325	3
CML326	3
CML327	3
CML338	3
CML360	3
CML361	3
CML364	3
CML408	3
CML411	3
CML412	3
CML415	3
CML422	3
CML423	3
CML426	3
CML428	3
CML430	3
CML431	3
CML432	3
CML433	3
CML451	3
CML454	3
CML465	3
CML470	3
CML471	3
CML473	3
CML474	3
CML479	3
CML480	3
CML486	3
CML493	3
CML496	3
CML497	3
CML50	3
CML51	3
CML69	3
D047	3
DSB	3
GEMS25	3
GEMS27	3
GEMS29	3
GEMS3	3
GEMS30	3
GEMS31	3
GEMS32	3
GEMS33	3
GEMS35	3
GEMS37	3
GEMS39	3
GEMS40	3
GEMS41	3
GEMS42	3
GEMS43	3
HUA83-2	3
JIAO51	3
LY	3
MN	3
S37	3
SC55	3
SW92E114	3
TY11	3
TY2	3
TY3	3
TY4	3
TY5	3
TY6	3
TY7	3
TY8	3
TY9	3
WMR	3
YUN46	3
ZHONG69	3
